tag,feature,median_AP,is_interaction
af2,af2_rosetta_interface_packstat*af2_sap_delta,0.3449393698613845,True
af2,af2_sap_delta*camsol_score,0.26341697044236595,True
af2,af2_dockQ*input_rosetta_interface_dG,0.37996292166230505,True
af2,af2_sap_delta*input_dSAP_dSASA_ratio,0.2548118815251473,True
af2,af2_plddt_target*af2_sap_delta,0.30277777777777776,True
af2,af2_pymol_num_interface_residues*input_dSAP_dSASA_ratio,0.24264517848182285,True
af2,af2_pymol_percent_nonpolar*af2_rosetta_interface_dG,0.2772647105980439,True
af2,af2_sap_delta*input_rosetta_interface_binder_hydrophobicity_percent,0.26078625860244947,True
af2,af2_rosetta_interface_nres_binder*af2_dSAP_dSASA_ratio,0.30725623582766437,True
af2,af2_dockQ*af2_rosetta_interface_sc,0.3459706356749767,True
af2,af2_rosetta_interface_dG*input_rosetta_interface_binder_hydrophobicity_percent,0.32008587369491737,True
af2,af2_sap_delta*input_sap_delta,0.2473195582684972,True
af2,af2_rosetta_interface_dSASA*af2_dSAP_dSASA_ratio,0.28888888888888886,True
af2,af2_plddt_binder*af2_rosetta_interface_dG,0.38756671401619364,True
af2,af2_pymol_nonpolar_count*af2_rosetta_interface_dG_SASA_ratio,0.30017414092454575,True
af2,af2_dockQ*af2_rosetta_interface_binder_hydrophobicity_percent,0.3260531797361644,True
af2,af2_plddt_total*af2_rosetta_interface_dG_SASA_ratio,0.26496795501457465,True
af2,af2_dockQ*af2_rosetta_interface_dG,0.39006986632486323,True
af2,af2_rosetta_surface_hydrophobicity*RMSD_complex_input_af2,0.3094701978115148,True
boltz1,boltz1_iptm_avg,0.32932729384537435,False
boltz1,boltz1_iptm_std,0.23652778387959592,False
boltz1,boltz1_iptm_model_0,0.36522644022644024,False
boltz1,boltz1_complex_plddt_avg,0.24791666666666667,False
boltz1,boltz1_complex_plddt_std,0.16400089203000295,False
boltz1,boltz1_complex_plddt_model_0,0.24791666666666667,False
boltz1,boltz1_complex_iplddt_avg,0.3009205619385539,False
boltz1,boltz1_complex_iplddt_std,0.15849551370255707,False
boltz1,boltz1_complex_iplddt_model_0,0.30594083312337284,False
boltz1,boltz1_complex_pde_avg,0.35664584170658814,False
boltz1,boltz1_complex_pde_std,0.20962292845550312,False
boltz1,boltz1_complex_pde_model_0,0.32916184159736117,False
boltz1,boltz1_complex_ipde_avg,0.3454629231149953,False
boltz1,boltz1_complex_ipde_std,0.2523337285846317,False
boltz1,boltz1_complex_ipde_model_0,0.3534945421164227,False
boltz1,boltz1_dockQ,0.2831880243243085,False
boltz1,boltz1_pymol_SASA_binder,0.13392857142857142,False
boltz1,boltz1_pymol_SASA_target,0.16233766233766234,False
boltz1,boltz1_pymol_delta_SASA,0.18471095398308196,False
boltz1,boltz1_pymol_nonpolar_count,0.09237058583809996,False
boltz1,boltz1_pymol_percent_nonpolar,0.15554904031196515,False
boltz1,boltz1_pymol_hbonds,0.17201789846161142,False
boltz1,boltz1_pymol_paratope_helix,0.12265882622261579,False
boltz1,boltz1_pymol_paratope_sheet,0.09725471085120208,False
boltz1,boltz1_pymol_paratope_loop,0.11675438596491228,False
boltz1,boltz1_pymol_epitope_helix,0.10414703768741035,False
boltz1,boltz1_pymol_epitope_sheet,0.13544214190045556,False
boltz1,boltz1_pymol_epitope_loop,0.12979635951436458,False
boltz1,boltz1_rosetta_binder_score,0.13142060363827576,False
boltz1,boltz1_rosetta_surface_hydrophobicity,0.17251443541428205,False
boltz1,boltz1_rosetta_interface_sc,0.16725296089622466,False
boltz1,boltz1_rosetta_interface_packstat,0.2059415741954112,False
boltz1,boltz1_rosetta_interface_dG,0.31653803639840355,False
boltz1,boltz1_rosetta_interface_dSASA,0.16723389988009116,False
boltz1,boltz1_rosetta_interface_dG_SASA_ratio,0.2416537266171739,False
